TestCounter,Size,Time,Iterations
0,100,225700,1699
1,200,503700,3991
2,300,948500,6636
3,400,793100,9057
4,500,3310000,11473
5,600,2064300,14511
6,700,316000,16947
7,800,323400,19546
8,900,457000,22127
9,1000,14864800,24992
10,1100,377900,28273
11,1200,259000,30811
12,1300,427100,33514
13,1400,164200,35947
14,1500,175400,38729
15,1600,186800,41571
16,1700,231400,44277
17,1800,216500,47347
18,1900,222000,49695
19,2000,237000,52637
20,2100,264400,57127
21,2200,281100,59449
22,2300,280100,62184
23,2400,289800,64910
24,2500,314400,67261
25,2600,319800,70338
26,2700,590600,73272
27,2800,355900,75595
28,2900,354100,78443
29,3000,395900,81465
30,3100,394800,85005
31,3200,392000,87342
32,3300,416700,90010
33,3400,418500,92792
34,3500,444800,95408
35,3600,487500,98969
36,3700,495600,101427
37,3800,486200,104413
38,3900,490800,107200
39,4000,524200,110027
40,4100,552400,116800
41,4200,560700,118940
42,4300,563300,122045
43,4400,591000,124279
44,4500,636800,127299
45,4600,626400,129471
46,4700,658500,132617
47,4800,829700,134940
48,4900,641400,138273
49,5000,713400,140898
50,5100,656200,143446
51,5200,694600,146953
52,5300,1101000,149402
53,5400,685100,152300
54,5500,771000,154892
55,5600,722000,157869
56,5700,732500,161337
57,5800,762500,163786
58,5900,791200,166721
59,6000,1298000,169431
60,6100,809500,172444
61,6200,829100,176573
62,6300,838300,179640
63,6400,838600,182613
64,6500,849200,185213
65,6600,873600,187686
66,6700,967400,190558
67,6800,1024300,194031
68,6900,931500,196350
69,7000,932300,199102
70,7100,999600,201860
71,7200,962600,205601
72,7300,976000,208567
73,7400,1115900,211010
74,7500,1026400,213939
75,7600,1345500,216624
76,7700,1174300,220554
77,7800,1070100,222848
78,7900,1056200,226000
79,8000,1074900,228509
80,8100,1081600,232092
81,8200,1373200,242550
82,8300,1252400,245130
83,8400,1256100,247675
84,8500,1191800,250388
85,8600,1399300,253140
86,8700,1398900,255491
87,8800,1305300,258726
88,8900,1220700,260418
89,9000,1261000,264484
90,9100,1272300,266794
91,9200,1255100,269582
92,9300,1412800,273360
93,9400,1293200,275574
94,9500,1309300,278555
95,9600,1310400,281143
96,9700,1354400,283930
97,9800,1372300,286521
98,9900,1374700,289410
99,10000,1348100,292611
